Index,Buy_315,Notrade_0,Notrade_45,Sell_90,SL1,Buy_135,Notrade_180,Notrade_225,Sell_270,SL2
1,,2,3,4,4.5,5,6,7,8,8.5
2,9.0,11,13,15,16.0,17,19,21,23,24.0
3,25.0,28,31,34,35.5,37,40,43,46,47.5
4,49.0,53,57,61,63.0,65,69,73,77,79.0
5,81.0,86,91,96,98.5,101,106,111,116,118.5
6,121.0,127,133,139,142.0,145,151,157,163,166.0
7,169.0,176,183,190,193.5,197,204,211,218,221.5
8,225.0,233,241,249,253.0,257,265,273,281,285.0
9,289.0,298,307,316,320.5,325,334,343,352,356.5
10,361.0,371,381,391,396.0,401,411,421,431,436.0
11,441.0,452,463,474,479.5,485,496,507,518,523.5
12,529.0,541,553,565,571.0,577,589,601,613,619.0
13,625.0,638,651,664,670.5,677,690,703,716,722.5
14,729.0,743,757,771,778.0,785,799,813,827,834.0
15,841.0,856,871,886,893.5,901,916,931,946,953.5
16,961.0,977,993,1009,1017.0,1025,1041,1057,1073,1081.0
17,1089.0,1106,1123,1140,1148.5,1157,1174,1191,1208,1216.5
18,1225.0,1243,1261,1279,1288.0,1297,1315,1333,1351,1360.0
19,1369.0,1388,1407,1426,1435.5,1445,1464,1483,1502,1511.5
20,1521.0,1541,1561,1581,1591.0,1601,1621,1641,1661,1671.0
21,1681.0,1702,1723,1744,1754.5,1765,1786,1807,1828,1838.5
22,1849.0,1871,1893,1915,1926.0,1937,1959,1981,2003,2014.0
23,2025.0,2048,2071,2094,2105.5,2117,2140,2163,2186,2197.5
24,2209.0,2233,2257,2281,2293.0,2305,2329,2353,2377,2389.0
25,2401.0,2426,2451,2476,2488.5,2501,2526,2551,2576,2588.5
26,2601.0,2627,2653,2679,2692.0,2705,2731,2757,2783,2796.0
27,2809.0,2836,2863,2890,2903.5,2917,2944,2971,2998,3011.5
28,3025.0,3053,3081,3109,3123.0,3137,3165,3193,3221,3235.0
29,3249.0,3278,3307,3336,3350.5,3365,3394,3423,3452,3466.5
30,3481.0,3511,3541,3571,3586.0,3601,3631,3661,3691,3706.0
31,3721.0,3752,3783,3814,3829.5,3845,3876,3907,3938,3953.5
32,3969.0,4001,4033,4065,4081.0,4097,4129,4161,4193,4209.0
33,4225.0,4258,4291,4324,4340.5,4357,4390,4423,4456,4472.5
34,4489.0,4523,4557,4591,4608.0,4625,4659,4693,4727,4744.0
